date,timestamp,id,seq,rtt,iat,length,seq_difference,session_start,has_reply
2026-03-23,10:36:30.060607,972,0,1.9e-05,0.252004,64,1,1,1
2026-03-23,10:36:30.260779,972,1,1.7e-05,0.200172,64,1,0,1
2026-03-23,10:36:30.460934,972,2,1.6e-05,0.200155,64,1,0,1
2026-03-23,10:36:30.661108,972,3,1.6e-05,0.200174,64,1,0,1
2026-03-23,10:36:30.861348,972,4,1.7e-05,0.20024,64,1,0,1
2026-03-23,10:36:31.061528,972,5,1.6e-05,0.20018,64,1,0,1
2026-03-23,10:36:31.261704,972,6,1.6e-05,0.200176,64,1,0,1
2026-03-23,10:36:31.461847,972,7,1.7e-05,0.200143,64,1,0,1
2026-03-23,10:36:31.662013,972,8,1.6e-05,0.200166,64,1,0,1
2026-03-23,10:36:31.862139,972,9,1.6e-05,0.200126,64,1,0,1
2026-03-23,10:36:32.114248,973,0,2.8e-05,0.252109,64,1,1,1
2026-03-23,10:36:32.314446,973,1,1.5e-05,0.200198,64,1,0,1
2026-03-23,10:36:32.514621,973,2,1.6e-05,0.200175,64,1,0,1
2026-03-23,10:36:32.714761,973,3,1.7e-05,0.20014,64,1,0,1
2026-03-23,10:36:32.914921,973,4,1.6e-05,0.20016,64,1,0,1
2026-03-23,10:36:33.115082,973,5,1.6e-05,0.200161,64,1,0,1
2026-03-23,10:36:33.315260,973,6,2.9e-05,0.200178,64,1,0,1
2026-03-23,10:36:33.515458,973,7,1.6e-05,0.200198,64,1,0,1
2026-03-23,10:36:33.715633,973,8,1.6e-05,0.200175,64,1,0,1
2026-03-23,10:36:33.915810,973,9,1.6e-05,0.200177,64,1,0,1
2026-03-23,10:36:34.115980,973,10,1.6e-05,0.20017,64,1,0,1
2026-03-23,10:36:34.367968,974,0,1.8e-05,0.251988,64,1,1,1
2026-03-23,10:36:34.568167,974,1,1.7e-05,0.200199,64,1,0,1
2026-03-23,10:36:34.768360,974,2,1.8e-05,0.200193,64,1,0,1
2026-03-23,10:36:34.968540,974,3,1.6e-05,0.20018,64,1,0,1
2026-03-23,10:36:35.168711,974,4,1.7e-05,0.200171,64,1,0,1
2026-03-23,10:36:35.368887,974,5,1.6e-05,0.200176,64,1,0,1
2026-03-23,10:36:35.569040,974,6,1.7e-05,0.200153,64,1,0,1
2026-03-23,10:36:35.769190,974,7,1.7e-05,0.20015,64,1,0,1
2026-03-23,10:36:35.969364,974,8,1.7e-05,0.200174,64,1,0,1
2026-03-23,10:36:36.169517,974,9,1.7e-05,0.200153,64,1,0,1
2026-03-23,10:36:36.369697,974,10,1.7e-05,0.20018,64,1,0,1
2026-03-23,10:36:36.569873,974,11,1.5e-05,0.200176,64,1,0,1
2026-03-23,10:36:36.770044,974,12,1.6e-05,0.200171,64,1,0,1
2026-03-23,10:36:36.970190,974,13,1.6e-05,0.200146,64,1,0,1
2026-03-23,10:36:37.222087,975,0,1.8e-05,0.251897,64,1,1,1
2026-03-23,10:36:37.422226,975,1,5.6e-05,0.200139,64,1,0,1
2026-03-23,10:36:37.622418,975,2,1.7e-05,0.200192,64,1,0,1
2026-03-23,10:36:37.822606,975,3,1.7e-05,0.200188,64,1,0,1
